art_style,painting,utterance
Northern_Renaissance,albrecht-durer_study-sheet-with-the-attacked-animals,"Several different animals including horses, lions, and bulls fighting each other."
Baroque,frans-hals_the-company-of-captain-reinier-reael-and-lieutenant-cornelis-michielsz-blaeuw-known-as-the-1637-2,This is a painting of 7 bearded men posing in Elizabethian era clothing.  The men are armed with spears and knives. Some have protective armor.
Realism,pyotr-konchalovsky_still-life-on-the-background-of-the-carpet-oranges-and-coffee-1938,"A small wooden table holding a pitcher, a glass, some fruit and a doily."
Romanticism,gustave-dore_the-eagle,A large eagle carries a man into the sky against the backdrop of a rugged landscape.
Naive_Art_Primitivism,mary-fedden_butterflies-at-canaux-1973,"Large waves are approaching the beach from the ocean, just behind a tan house with over sized butterflies flying through the air."
Mannerism_Late_Renaissance,paolo-veronese_the-annunciation-1578,An angel is flying above and over to a scared maiden in a roman columned room.
Impressionism,pierre-auguste-renoir_the-great-bathers-the-nymphs-1919,Plump nude content women lounging while others bathe in the background.
Abstract_Expressionism,david-smith_untitled-1961,"An abstract sculpture that looks like a disc of aluminum with some sections cut away, to somewhat resemble a padlock"
Baroque,sebastien-bourdon_le-crucifiement-de-saint-pierre-1643,I see a group of people joined together in the torturing of a man.
Romanticism,thomas-moran_the-grand-canyon-of-the-yellowstone-1901,A waterfall cleaves into the valley of the mountains
Baroque,anthony-van-dyck_william-ii-prince-of-orange-and-princess-henrietta-mary-stuart-daughter-of-charles-i-of-england-1641,Two children dressed in fancy clothing holding hands.
Expressionism,zinaida-serebriakova_the-old-lady-in-a-bonnet-brittany-1934,A women in a black dress that has a white collar wearing a white hat with her left arm holding her right wrist.
Rococo,canaletto_view-of-a-river-perhaps-in-padua-1745,large lake surrounded with buildings in the background and people and a small dog walking around in the foreground
Mannerism_Late_Renaissance,el-greco_st-louis-king-of-france-with-a-page,Portrait of a royalty using very earthy colors.
Symbolism,dante-gabriel-rossetti_the-boat-of-love-1874,People saying goodbye to eachother as some people step into a boat.
Realism,henri-fantin-latour_gladiolas-and-roses-1881,"Beautiful red, pink, and yellow flowers set against a brown background."
Symbolism,guntis-strupulis_ainava-ar-kr-slu-1971(1),"A white chair sitting on a large expanse of barren ground with dark clouds overhead, but with a clearer sky on the horizon."
Rococo,maurice-quentin-de-la-tour_madame-de-pompadour,"A woman with large eyes, pink lips, and rosy cheeks"
Naive_Art_Primitivism,grandma-moses_not_detected_251605,A farmhouse surrounded by trees that are blowing in the wind with a carriage passing by.
Fauvism,max-pechstein_girl-in-red-with-a-parasol-1909,A woman protects herself from the sun with an umbrella while a book and her purse lay on the table.
Cubism,nzante-spee_david-and-goliath-1995,A young girl in a forest looking up at a creature in a free.
Art_Nouveau_Modern,mikhail-vrubel_at-nightfall-1900,"As a man walks through a field with tall plants, containing red flowers on the top, two horses are grazing on the plants."
Abstract_Expressionism,jackson-pollock_untitled-1944(1),"An abstract plethora of shapes, swirls, lines, and splatters in a graffiti type fashion painted in a mix of primary colors."
Pop_Art,tano-festa_armadio-cieco-1963,Painting of a wooden dresser painted in yellow.
Realism,valentin-serov_bullocks-1885,A white longhorn and a black longhorn eating out of a cart.
Baroque,rembrandt_woman-standing-with-raised-hands,(only top two inches of pic loaded) A woman appears to be eavesdropping by pressing her ear against the wall.
Abstract_Expressionism,romare-bearden_untitled-1959-2,A large red object against the dark blue background.
Northern_Renaissance,albrecht-durer_design-for-a-goblet-with-a-variant-of-the-base,This appears to be a finely detailed goblet with an elaborate stand.
Color_Field_Painting,gene-davis_pepper-pot-1966,A lot of skinny vertical stripes are equidistant from each other.
Post_Impressionism,vincent-van-gogh_lady-with-checked-dress-and-hat-1890,This is a rear-view of a woman sketched with a pencil.  She is wearing a coat or dressed with a geometric waffle pattern.
Mannerism_Late_Renaissance,paolo-veronese_saturn-time-and-historia-1561,A man and woman are sitting with some books in front of them.
Impressionism,john-henry-twachtman_winter-1,A river flows through an icy landscape with a barn and silo in the background.
Post_Impressionism,ferdynand-ruszczyc_m-yn-w-zimie-1902,Building are covered in both ice and snow.
Expressionism,egon-schiele_self-portrait-in-lavender-and-dark-suit-standing-1914,A tall slender person with pursed lips and tall hair stands with hands on waist in a black jacket and pants over a white shirt.
Realism,isaac-levitan_water-lilies-nenuphar-1895,Green lily pads and white flowers float on the surface of a murky lake.
Post_Impressionism,vladimir-dimitrov_unknown-title-19,A woman in a blue scarf is surrounded by colorful flowers.
Realism,william-adolphe-bouguereau_the-younger-brother-1900,A young woman is holding a toddler girl in her arms.
Abstract_Expressionism,blinky-palermo_coney-island-ii-1975,Rectangles made of squares of color bordered by strips of different color on the top and bottom.
Pointillism,paul-signac_breakfast-the-dining-room,A maid brings messages to the lady of the house who is sipping on tea with a man.
Romanticism,gustave-dore_semiramide-spidocchiatrice-di-straccioni-1854,"A black and white drawing of a Roman soldier, a Templar, and a Cleric aiding a sickly looking man ."
Post_Impressionism,henri-de-toulouse-lautrec_corner-in-the-moulin-de-la-galette-1892,"a gathering of people in a restaurant, some seated, some standing."
Symbolism,nicholas-roerich_mongolian-rider-1931,A person on horseback with a mountain in the background.
Post_Impressionism,pyotr-konchalovsky_venice-house-of-tintoretto-1924,A mulistoried building is painted in front of water.
Abstract_Expressionism,richard-pousette-dart_white-gothic-no-5-1961,A large amount of small black shapes are drawn with some yellow and blue colors mixed in.
Pointillism,paul-signac_comblat-and-the-valley-of-the-cere,A village and its church are nestled in the shadow of the moutains.
Romanticism,orest-kiprensky_portrait-of-the-prince-aleksandr-mikhailovich-golitsyn-1819,A man dressed in black is panted against a scene of trees and sky.
Minimalism,agnes-martin_the-peach-1964,A medium darkness grid is over a solid ivory background.
Color_Field_Painting,gene-davis_flamingo-1965,The painting has multiple vertical color bars in several different colors.
Baroque,jacob-jordaens_christ-carrying-the-cross-1660,It looks like people praying over Jeses before he’s nailed to the cross
Impressionism,pierre-auguste-renoir_georgette-charpentier-standing-1880,A girl dressed in a pink dress with a hat standing and holding her hands together.
Romanticism,gustave-dore_jesus-falling-beneath-the-cross,A group of people are moving with the cross.
Northern_Renaissance,lucas-cranach-the-elder_portraits-of-henry-the-pious-duke-of-saxony-and-his-wife-katharina-von-mecklenburg-1514,"Full body portraits of a man and a woman, richly dressed, with their dogs."
Baroque,joshua-reynolds_mary-duchess-of-richmond-1767,A young woman working on her needlework wearing dark clothing.
Fauvism,janos-mattis-teutsch_mattis-teutsch-s-birthplace-1910,A house behind a fence with tall trees in front of it
Impressionism,camille-pissarro_pumpkin-merchant-1883,"A woman leans over, her arms resting on some cylindrical objects."
Mannerism_Late_Renaissance,paolo-veronese_venus-and-adonis-1582,A man lies with his head in a woman's lap and a dog lies under them while a child hugs another dog.
Post_Impressionism,paul-cezanne_four-apples,Four pieces of fruit sit on a table.
High_Renaissance,leonardo-da-vinci_anatomical-studies,The nude on the right has a lot of muscle definition.
Symbolism,nicholas-roerich_himalayas-59,Blue mountains in front of an orange sunset.
Cubism,fã©lix-del-marle_self-portrait-1913,A man in a suit with a hat and goatee.
Romanticism,william-turner_rome-from-mount-aventine,Two persons were standing on top of a mountain overlooking the harbor.
Romanticism,dante-gabriel-rossetti_king-rene-s-honeymoon-1867,A man is leaning over and kissing a woman who is playing a piano-like instrument.
Art_Nouveau_Modern,nicholas-roerich_corridors-of-the-castle-dungeons-1913,A cobblestone cottage with a fireplace and stairs.
Art_Nouveau_Modern,anna-ostroumova-lebedeva_academy-of-arts,A row of boats being parked by the bridge.
Realism,isaac-levitan_by-the-wall-of-church-1885,A white building surrounded by over grown grass.
Post_Impressionism,vincent-van-gogh_peasant-woman-head-9,Face of a wrinkled old woman wearing a head scarf.
Impressionism,jacek-malczewski_idyll,Two children standing in the midst of a flock of turkeys.
Impressionism,pierre-auguste-renoir_young-boy-with-a-cat-1869,A nude woman hugging a cat that is sitting on a shelf.
Impressionism,pierre-auguste-renoir_after-bathing-seated-female-nude,"An naked woman sits twisted sideways with her back to the viewer, uppon a white cloth."
Action_painting,jackson-pollock_number-26-1949,An abstract work with orange and yellow and black drips and drabs of paint.
Realism,john-singer-sargent_flora-priestley-1889,"Portrait of a pale woman in a brown dress, hand on hip, with red flowers."
Abstract_Expressionism,jane-frank_ledge-of-light-1974,A series of rough geometric shapes resembling an aerial landscape.
Impressionism,camille-pissarro_landscape-with-flooded-fields-1873,A small town is visible beyond trees in a field.
Post_Impressionism,henri-de-toulouse-lautrec_madame-lili-grenier-1888,"A person with bright red hair tied up in a bun, and brown eyes staring towards the ground while wearing a comfortable robe."
Realism,alexey-venetsianov_a-boy-in-a-red-shirt,A sad boy in red holds out berries with one hand while a hat sits in his lap.
Mannerism_Late_Renaissance,hans-von-aachen_two-laughing-men-double-self-portrait-1574,"Two twins are smiling with old customers,one is behind holding other's collar."
Art_Nouveau_Modern,tom-thomson_forest-undergrowth-i-1916,Some red bushes are in front of three big trees.
Romanticism,edward-burne-jones_the-princess-sabra-led-to-the-dragon-painting-1866,"I see a procession of women, led by a figure holding a spear, and onlookers."
Cubism,fernand-leger_composition-1920,"This depicts an abstract painting with multiple shapes and colors, with an emphasis on yellow, black, and white."
Pop_Art,nicholas-krushenick_crossover-1972,A yellow background is framed with pink and orange striped diagonal lines jutting over the right bottom and top left.
Art_Nouveau_Modern,ivan-bilibin_south-of-france-after-the-storm-1936,"A pair of black and white images that seem to be from a book, one is a coastline and one is a hillside."
Realism,john-singer-sargent_the-misses-vickers-1884,"Three upper class women lounge the drawing room.  Two of the women hold a book, although only one seems interested in it."
Abstract_Expressionism,jean-paul-riopelle_perspectives-1956,Rectangles and squares of different colors all come together.
Expressionism,pablo-picasso_artist-s-son-1925,A child with sandy brown hair looks emotionless.
Impressionism,gustave-caillebotte_the-park-monceau,"A bath winds through green fields, edged in wire and decked with tall trees and an odd stone monument."
Post_Impressionism,gustave-loiseau_pothius-quay-in-pontoise-1907,"A grand house with several pitched roofs, down a lane behind a stone wall."
Impressionism,rudolf-schweitzer-cumpana_t-t-roaic-venind-de-la-f-nt-n-1929,A man playing a flute stands on a barren landscape.
